accession_name,location,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence in 3-month|CO_334:0000219,cassava mosaic disease severity in 3-month|CO_334:0000218,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,sprout count at three-month|CO_334:0000214,CMD I 6MAP,CMD S 6MAP,CBB I 6MAP,CBB S 6MAP,CGM I 6MAP,CGM S 6MAP,VIGOUR 6MAP,Cbb9i,Cbb9s,Cmd9i,Cmd9s,Vigor 9map,Vigor preharvest,Sprout Count Net,Plnt Ht 1,Plt Ht 2,Plt Ht 3,Arch,fresh shoot weight,fresh root weight per plot,marketable root number,marketable root weight measurement in kg,plant stands harvested ,root color visual rating 1-3,root number counting,storage root shape,Root Rot,weight in air,weight in water,spg,dmc.spg,fry,starch,DMc.oven
NR17C2aF60P009,otobi,161,28,NA,2,28,9,0,1,2,2,5,0,1,2,2,3,3,5,1,2,0,1,5,5,3,241,230,198,2,5.2,5.8,7,5.8,2,1,7,NA,NA,2140,260,1.138297872,38.0787234,7.25,26.55319149,43.43
NR17C2aF81P003,otobi,162,28,NA,2,28,8,0,1,0,1,4,0,1,0,1,2,3,5,0,1,0,1,5,5,3,215,175,NA,5,9.8,6.8,8,6,1,1,12,3,NA,2740,310,1.127572016,36.381893,8.5,24.29218107,40.43
NR17C2aF89P056,otobi,163,28,NA,2,28,7,0,1,2,2,4,0,1,2,2,2,3,5,0,1,0,1,5,5,3,170,245,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.73
NR17C2aF89P009,otobi,164,28,NA,2,28,6,0,1,2,2,3,0,1,2,3,2,3,5,0,1,0,1,5,5,2,225,110,NA,3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.85
NR17C2aF10P001,otobi,165,28,NA,2,28,5,5,2,3,2,8,0,1,5,3,5,3,7,4,2,5,3,7,7,7,312,315,320,2,8.8,8.8,13,8,3,3,18,3,NA,4020,500,1.142045455,38.67159091,11,27.34318182,40.58
NR17C2aF16P010,otobi,166,28,NA,2,28,4,3,2,3,2,4,0,1,3,2,3,3,5,2,2,0,1,5,5,4,220,235,226,4,10,9.2,8,7.4,2,1,15,2,NA,4380,610,1.161803714,41.79734748,11.5,31.50822281,41.26
NR17C2aF89P084,otobi,167,28,NA,2,28,3,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NR17C2aF94P013,otobi,168,28,NA,2,28,2,0,1,4,2,7,0,1,5,2,5,4,5,4,2,0,1,5,5,8,209,215,230,4,21,19.4,24,17,3,3,34,2,NA,5520,690,1.142857143,38.8,24.25,27.51428571,38.16
NR17C2aF60P010,otobi,169,28,NA,2,28,1,0,1,2,2,4,0,1,2,2,2,4,5,3,2,0,1,5,5,4,170,180,185,4,9.2,11.4,11,11.4,2,1,11,3,NA,4290,560,1.150134048,39.95120643,14.25,29.04825737,46.53
NR17C2aF92P001,otobi,170,29,NA,2,29,1,0,1,6,2,8,0,1,6,2,6,3,7,6,2,0,1,7,7,8,230,245,227,3,25.2,26.2,20,25,3,1,26,3,NA,4280,610,1.166212534,42.49482289,32.75,32.43760218,39.66
NR17C2aF10P021,otobi,171,29,NA,2,29,2,0,1,3,2,4,0,1,2,2,3,4,5,2,2,0,1,5,5,4,125,140,125,4,1.6,3.6,6,2.4,2,2,12,1,NA,3380,330,1.108196721,33.31672131,4.5,20.20786885,41.73
NR17C2aF37P001,otobi,172,29,NA,2,29,3,0,1,0,1,1,0,1,0,1,0,1,3,0,1,0,1,5,5,1,215,NA,NA,4,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.08
NR17C2aF91P011,otobi,173,29,NA,2,29,4,0,1,5,2,8,0,1,7,2,7,3,7,4,2,0,1,7,7,9,275,285,305,2,31.2,34.8,27,28,6,3,50,3,NA,4660,610,1.150617284,40.02765432,43.5,29.15012346,42.53
NR17C2aF7P036,otobi,174,29,NA,2,29,5,0,1,0,1,2,0,1,1,2,1,3,3,0,1,0,1,5,5,2,187,135,NA,4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.38
NR17C2aF92P005,otobi,175,29,NA,2,29,6,0,1,5,2,7,0,1,5,2,5,3,5,5,2,0,1,5,5,7,175,180,170,4,12,6.8,10,6.4,4,2,11,3,NA,4150,530,1.14640884,39.36187845,8.5,28.26298343,41.56
NR17C2aF16P004,otobi,176,29,NA,2,29,7,0,1,0,1,7,0,1,5,2,5,3,7,6,2,0,1,7,7,7,275,280,245,3,19.2,30,23,28,3,2,26,3,NA,5010,640,1.146453089,39.36887872,37.5,28.27231121,40.73
